"","X","DateTime","Inj","V1","V2","V3","V4","Turbidity_NTU","Chlorophylla_ug.L","Phycocyanin_ppb","CDOM_ppb","Flux_1","Temp_C_1","CO2_Soil_1","CO2_Soil_STD_1","CO2_ATM_1","CO2_ATM_STD_1","Mode_1","Flux_2","Temp_C_2","CO2_Soil_2","CO2_Soil_STD_2","CO2_ATM_2","CO2_ATM_STD_2","Mode_2","ppt_mm","tempC_421","tempC_425","tempC_430","tempC_435","tempC_436","tempC_437","tempC_442","airTemp_c","EC1_uS","EC2_uS","EC4_uS","DO1_mg.L","DO2_mg.L","DO4_mg.L","ppt24Tot","ppt48Tot","ppt72Tot","lvl_421_m","lvl_425_m","lvl_430_m","lvl_435_m","lvl_436_m","lvl_437_m","lvl_442_m"
"3022",3022,"2019-07-11 11:45:00","No",2100,2065,1487.5,457.5,NA,NA,NA,NA,1.51,30.9,371.29,2.562,285.4,3.933,1.75972,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8.868967,NA,NA,NA,NA,NA,NA,0,1.7,8.5,NA,NA,NA,NA,NA,NA,NA
"3023",3023,"2019-07-11 11:48:00","No",NA,NA,NA,NA,0,2.65,3.88,31.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.7,8.5,NA,NA,NA,NA,NA,NA,NA
"3024",3024,"2019-07-11 11:50:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.423673,NA,NA,NA,NA,NA,NA,0,1.7,8.5,NA,NA,NA,NA,NA,NA,NA
"3025",3025,"2019-07-11 11:55:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.900199,NA,NA,NA,NA,NA,NA,0,1.7,8.5,NA,NA,NA,NA,NA,NA,NA
"3026",3026,"2019-07-11 12:00:00","No",2070,2040,1492.5,467.5,NA,NA,NA,NA,1.42,29.4,362.44,4.664,281.74,4.213,1.7588,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.65048,NA,NA,NA,NA,NA,NA,0,1.7,8.5,NA,NA,NA,NA,NA,NA,NA
"3027",3027,"2019-07-11 12:03:00","No",NA,NA,NA,NA,0,3.3,72.42,32.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.7,8.5,NA,NA,NA,NA,NA,NA,NA
"3028",3028,"2019-07-11 12:05:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10.10234,NA,NA,NA,NA,NA,NA,0,1.7,8.4,NA,NA,NA,NA,NA,NA,NA
"3029",3029,"2019-07-11 12:10:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.594617,NA,NA,NA,NA,NA,NA,0,1.7,8.4,NA,NA,NA,NA,NA,NA,NA
"3030",3030,"2019-07-11 12:15:00","No",2065,2000,1467.5,457.5,NA,NA,NA,NA,1.16,28.8,344.72,1.54,279.01,5.216,1.75851,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.325543,NA,NA,NA,NA,NA,NA,0,1.7,8.4,NA,NA,NA,NA,NA,NA,NA
"3031",3031,"2019-07-11 12:18:00","No",NA,NA,NA,NA,0,2.29,0,32.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.7,8.4,NA,NA,NA,NA,NA,NA,NA
"3032",3032,"2019-07-11 12:20:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.590567,NA,NA,NA,NA,NA,NA,0,1.7,8.2,NA,NA,NA,NA,NA,NA,NA
"3033",3033,"2019-07-11 12:25:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.31883,NA,NA,NA,NA,NA,NA,0,1.7,8,NA,NA,NA,NA,NA,NA,NA
"3034",3034,"2019-07-11 12:30:00","No",2035,1985,1362.5,457.5,NA,NA,NA,NA,1.25,28.9,349.19,3.347,277.98,2.217,1.75872,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.224067,NA,NA,NA,NA,NA,NA,0,1.7,7.7,NA,NA,NA,NA,NA,NA,NA
"3035",3035,"2019-07-11 12:33:00","No",NA,NA,NA,NA,0,2.54,0,32.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.7,7.7,NA,NA,NA,NA,NA,NA,NA
"3036",3036,"2019-07-11 12:35:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.215927,NA,NA,NA,NA,NA,NA,0,1.7,7.3,NA,NA,NA,NA,NA,NA,NA
"3037",3037,"2019-07-11 12:40:00","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.175628,NA,NA,NA,NA,NA,NA,0,1.7,6.8,NA,NA,NA,NA,NA,NA,NA
"3038",3038,"2019-07-11 12:45:00","No",1990,1990,1327.5,457.5,NA,NA,NA,NA,1.32,28.1,349.08,3.332,274.1,3.426,1.7578,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.647204,NA,NA,NA,NA,NA,NA,0,1.7,6.5,NA,NA,NA,NA,NA,NA,NA
"3039",3039,"2019-07-11 12:48:00","No",NA,NA,NA,NA,0,2.49,1.14,31.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.7,6.5,NA,NA,NA,NA,NA,NA,NA
