,DateTime,Turbidity_NTU,Chlorophylla_ug/L,Phycocyanin_ppb,CDOM_ppb,Depth_m,Temp_C,,
1,7/11/2019 11:48,0,2.65,3.88,31.79,0,12.45,,
2,7/11/2019 12:03,0,3.3,72.42,32.99,0.14,12.66,,
3,7/11/2019 12:18,0,2.29,0,32.59,0.07,12.97,,
4,7/11/2019 12:33,0,2.54,0,32.17,0.07,12.68,,
5,7/11/2019 12:48,0,2.49,1.14,31.27,0.14,12.5,,
6,7/11/2019 13:03,0,2.7,0.69,29.89,0.14,13.88,,
7,7/11/2019 13:18,0,2.46,4.08,28.9,0.14,14.15,,
8,7/11/2019 13:33,25.58,5.42,15.1,15.67,0.14,14.25,,
9,7/11/2019 13:48,112.82,2.72,2.08,27.27,0.07,14.1,,
10,7/11/2019 14:03,279.07,2.65,2.02,26.86,0.07,13.88,,
11,7/11/2019 14:18,1643.63,2.64,1.44,24.16,0.07,13.08,,
12,7/11/2019 14:33,613.54,2.87,2.09,28.26,0.14,12.23,,
13,7/11/2019 14:48,908.46,3.33,2.17,29.34,0.21,12.08,,
14,7/11/2019 15:03,2796.97,2.81,2.04,29.55,0.21,10.74,,
15,7/11/2019 15:33,0,2.81,2.49,33.96,0.35,10.76,,
16,7/11/2019 15:48,0,2.6,1.72,33.84,0.48,10.57,,
17,7/11/2019 16:03,0,2.65,0.93,33.94,0.48,10.85,,
18,7/11/2019 16:18,0,2.61,1.84,33.99,0.41,10.4,,
19,7/11/2019 16:33,0,2.59,2.19,33.94,0.48,10.01,,
20,7/11/2019 16:48,0,2.69,1.99,34.06,0.48,10.03,,
21,7/11/2019 17:03,0,2.61,1.15,34.02,0.48,10.09,,
22,7/11/2019 17:18,0,2.59,1.47,34.03,0.48,9.34,,
23,7/11/2019 17:33,0,2.68,1.51,34.13,0.55,9,,
24,7/11/2019 17:48,0,2.68,1.68,34.03,0.55,8.57,,
25,7/11/2019 18:03,0,2.78,1.58,34.05,0.55,7.98,,
26,7/11/2019 18:18,0,2.99,2.06,33.94,0.55,8.11,,
27,7/11/2019 18:33,0,2.75,0.87,33.96,0.55,7.68,,
28,7/11/2019 18:48,0,2.81,1.86,33.82,0.55,6.88,,
29,7/11/2019 19:03,0,2.89,1.77,33.7,0.55,7.08,,
30,7/11/2019 19:18,0,2.76,2.08,33.72,0.55,7.17,,
31,7/11/2019 19:33,0,2.76,2.01,33.6,0.55,7.06,,
32,7/11/2019 19:48,0,2.81,2.05,33.6,0.55,6.95,,
33,7/11/2019 20:03,0,2.72,1.84,33.51,0.55,6.03,,
34,7/11/2019 20:18,0,2.64,2.05,33.42,0.55,6.56,,
35,7/11/2019 20:33,0,2.76,2.37,33.43,0.62,6.22,,
36,7/11/2019 20:48,0,2.67,1.16,33.35,0.62,6.07,,
37,7/11/2019 21:03,0,2.72,1.47,33.27,0.62,5.67,,
38,7/11/2019 21:18,0,2.67,1.7,33.21,0.55,5.94,,
39,7/11/2019 21:33,0,2.61,0.98,33.29,0.55,5.58,,
40,7/11/2019 21:48,0,2.63,1.5,33.12,0.55,5.48,,
41,7/11/2019 22:03,0,2.54,1.59,33.1,0.62,5.72,,
42,7/11/2019 22:18,0,2.71,2.12,33.16,0.55,5.61,,
43,7/11/2019 22:33,0,2.61,1.8,32.93,0.62,5.36,,
44,7/11/2019 22:48,0,2.57,1.79,33.01,0.62,5.33,,
45,7/11/2019 23:03,0,2.53,2.06,32.81,0.55,5.34,,
46,7/11/2019 23:18,0,2.61,1.87,32.79,0.55,5.37,,
47,7/11/2019 23:33,0,2.63,1.88,32.68,0.55,5.48,,
48,7/11/2019 23:48,0,2.59,2.06,32.62,0.55,5.3,,
49,7/12/2019 0:03,0,2.51,1.43,32.57,0.62,5.18,,
50,7/12/2019 0:18,0,2.56,1.3,32.34,0.62,5.13,,
51,7/12/2019 0:33,0,2.47,1.12,31.77,0.55,5.07,,
52,7/12/2019 0:48,0,2.45,1.66,32.53,0.55,5.13,,
53,7/12/2019 1:03,0,2.45,1.56,32.46,0.55,4.97,,
54,7/12/2019 1:18,0,2.79,0.91,32.36,0.62,4.92,,
55,7/12/2019 1:33,0,2.48,1.45,32.33,0.55,4.84,,
56,7/12/2019 1:48,0,2.6,0.94,32.34,0.62,4.9,,
57,7/12/2019 2:03,0,2.43,1.3,32.22,0.62,4.79,,
58,7/12/2019 2:18,0,2.44,0.91,32.24,0.62,4.73,,
59,7/12/2019 2:33,0,2.39,1.02,32.31,0.62,4.82,,
60,7/12/2019 2:48,0,2.43,1.29,32.2,0.55,4.57,,
61,7/12/2019 3:03,0,2.4,1.26,32.17,0.55,4.55,,
62,7/12/2019 3:18,0,2.35,1.37,32.1,0.62,4.7,,
63,7/12/2019 3:33,0,2.35,1.48,31.56,0.62,4.85,,
64,7/12/2019 3:48,0,2.42,1.48,32.02,0.62,4.7,,
65,7/12/2019 4:03,0,2.34,0.94,32.03,0.55,4.69,,
66,7/12/2019 4:18,0,2.33,0.98,31.95,0.62,4.3,,
67,7/12/2019 4:33,0,2.41,1,32,0.62,4.46,,
68,7/12/2019 4:48,0,2.41,1.01,31.61,0.55,4.43,,
69,7/12/2019 5:03,0,2.4,1.3,31.32,0.55,4.15,,
70,7/12/2019 5:18,0,2.37,2.06,31.76,0.55,4.34,,
71,7/12/2019 5:33,0,2.34,0.51,31.84,0.62,4.27,,
72,7/12/2019 5:48,0,2.38,1.29,31.23,0.55,4.21,,
73,7/12/2019 6:03,0,2.18,1.11,30.63,0.55,4.11,,
74,7/12/2019 6:18,0,2.17,1.16,30.23,0.62,4.13,,
75,7/12/2019 6:33,0,2.13,1.8,31.74,0.55,4.21,,
76,7/12/2019 6:48,0,2.04,0.57,31.51,0.62,4.21,,
77,7/12/2019 7:03,0,2.03,1.11,31.91,0.55,4.39,,
78,7/12/2019 7:18,0,2.08,1.72,32.03,0.62,4.45,,
79,7/12/2019 7:33,0,2.17,1.16,31.8,0.62,4.67,,
80,7/12/2019 7:48,0,2.16,1.55,32.19,0.62,4.8,,
81,7/12/2019 8:03,0,2.21,1.45,32.28,0.62,5.17,,
82,7/12/2019 8:18,0,2.21,1.23,32.45,0.55,5.31,,
83,7/12/2019 8:33,0,2.2,0.6,32.48,0.62,5.43,,
84,7/12/2019 8:48,0,2.2,1.05,32.56,0.62,5.6,,
85,7/12/2019 9:03,0,2.35,0.73,32.71,0.62,5.64,,
86,7/12/2019 9:18,0,2.29,0.73,32.65,0.62,5.79,,
87,7/12/2019 9:33,0,2.33,2.33,32.61,0.62,5.98,,
88,7/12/2019 9:48,0,2.13,2.7,32.86,0.62,6.28,,
89,7/12/2019 10:03,0,2.28,3.6,32.87,0.55,6.75,,
90,7/12/2019 10:18,0,2.23,1.73,32.78,0.55,6.95,,
91,7/12/2019 10:33,0,2.21,2.4,32.83,0.55,7.72,,
92,7/12/2019 10:48,0,2.37,2.13,32.9,0.48,8.1,,
93,7/12/2019 11:03,0,2.33,2.53,32.95,0.48,8.23,,
94,7/12/2019 11:18,0.26,2.64,1.33,32.7,0.55,8.82,,
95,7/12/2019 11:48,0,2.86,1.94,32.28,0.21,8.43,,
96,7/12/2019 12:03,0,2.6,3.1,32.1,0.27,9.19,,
97,7/12/2019 12:18,0,2.76,5.15,31.86,0.27,9.65,,
98,7/12/2019 12:33,0,2.46,4.43,32.29,0.27,10.09,,
99,7/12/2019 12:48,0,2.55,1.44,32.63,0.27,10.74,,
100,7/12/2019 13:03,0,3.3,1.32,32.16,0.21,10.1,,
101,7/12/2019 13:18,0,3.24,2.24,31.19,0.27,9.99,,
102,7/12/2019 13:33,25.59,2.96,1.98,31.13,0.27,10.44,,
103,7/12/2019 13:48,76.1,2.67,1.73,32.07,0.21,11.04,,
104,7/12/2019 14:03,279.11,2.62,222.37,31.83,0.21,10.84,,
105,7/12/2019 14:18,1274.27,2.93,209.05,31.5,0.21,10.74,,
106,7/12/2019 14:33,472.66,3.03,598.08,32.04,0.21,10.33,,
107,7/12/2019 14:48,1190.56,2.58,85.7,31.55,0.21,11.16,,
108,7/12/2019 15:03,524.67,2.35,1.84,32.35,0.21,10.94,,
109,7/12/2019 15:18,2265.18,2.5,2.2,32.15,0.21,10.88,,
110,7/12/2019 15:33,767.23,2.79,1.2,31.38,0.21,10.74,,
111,7/12/2019 11:48,0,2.86,1.94,32.28,0.21,8.43,,
112,7/12/2019 12:03,0,2.6,3.1,32.1,0.27,9.19,,
113,7/12/2019 12:18,0,2.76,5.15,31.86,0.27,9.65,,
114,7/12/2019 12:33,0,2.46,4.43,32.29,0.27,10.09,,
115,7/12/2019 12:48,0,2.55,1.44,32.63,0.27,10.74,,
116,7/12/2019 13:03,0,3.3,1.32,32.16,0.21,10.1,,
117,7/12/2019 13:18,0,3.24,2.24,31.19,0.27,9.99,,
118,7/12/2019 13:33,25.59,2.96,1.98,31.13,0.27,10.44,,
119,7/12/2019 13:48,76.1,2.67,1.73,32.07,0.21,11.04,,
120,7/12/2019 14:03,279.11,2.62,222.37,31.83,0.21,10.84,,
121,7/12/2019 14:18,1274.27,2.93,209.05,31.5,0.21,10.74,,
122,7/12/2019 14:33,472.66,3.03,598.08,32.04,0.21,10.33,,
123,7/12/2019 14:48,1190.56,2.58,85.7,31.55,0.21,11.16,,
124,7/12/2019 15:03,524.67,2.35,1.84,32.35,0.21,10.94,,
125,7/12/2019 15:18,2265.18,2.5,2.2,32.15,0.21,10.88,,
126,7/12/2019 15:33,767.23,2.79,1.2,31.38,0.21,10.74,,
127,7/12/2019 16:00,0,3.01,2.35,31.17,0.14,10.01,,
128,7/12/2019 16:15,0,2.99,2.31,32.17,0.27,9.66,,
129,7/12/2019 16:30,0,2.37,1.26,32.94,0.21,9.77,,
130,7/12/2019 16:45,0,2.37,1.02,33.15,0.27,9.42,,
131,7/12/2019 17:00,0,2.82,0.83,33.19,0.27,8.48,,
132,7/12/2019 17:15,0,2.45,2.59,33.26,0.35,8.9,,
133,7/12/2019 17:30,0,2.22,1.51,33.25,0.27,8.43,,
134,7/12/2019 17:45,0,2.29,1.29,33.32,0.35,7.84,,
135,7/12/2019 18:00,0,2.39,1.45,33.17,0.35,7.03,,
136,7/12/2019 18:15,0,2.95,1.87,32.94,0.35,6.75,,
137,7/12/2019 18:30,0,2.39,1.04,33.03,0.35,6.41,,
138,7/12/2019 18:45,0,2.59,1.88,32.97,0.41,6.01,,
139,7/12/2019 19:00,0,2.4,1.97,32.94,0.41,6.2,,
140,7/12/2019 19:15,0,2.38,1.52,32.82,0.41,5.91,,
141,7/12/2019 19:30,0,2.34,1.29,33.02,0.35,5.43,,
142,7/12/2019 19:45,0,2.26,1.54,33.01,0.41,5.53,,
143,7/12/2019 20:00,0,2.2,1.15,32.88,0.35,5.37,,
144,7/12/2019 20:15,0,2.2,1.15,32.85,0.41,5.21,,
145,7/12/2019 20:30,0,2.2,1.87,32.87,0.41,5.25,,
146,7/12/2019 20:45,0,2.16,1.16,32.8,0.41,5.26,,
147,7/12/2019 21:00,0,2.2,1.98,32.87,0.35,5.11,,
148,7/12/2019 21:15,0,2.16,1.23,32.85,0.41,4.99,,
149,7/12/2019 21:30,0,2.14,1.19,32.86,0.35,4.79,,
150,7/12/2019 21:45,0,2.13,1.7,32.75,0.35,4.81,,
151,7/12/2019 22:00,0,2.27,1.72,32.79,0.41,4.92,,
152,7/12/2019 22:15,0,2.12,1.34,32.76,0.41,4.79,,
153,7/12/2019 22:30,0,2.21,1.34,32.71,0.41,4.6,,
154,7/12/2019 22:45,0,2.09,1.18,32.65,0.41,4.92,,
155,7/12/2019 23:00,0,2.09,1.47,32.56,0.41,4.89,,
156,7/12/2019 23:15,0,2.1,1.16,32.64,0.41,4.84,,
157,7/12/2019 23:30,0,2.06,1.04,32.49,0.41,4.86,,
158,7/12/2019 23:45,0,2.15,1.3,32.48,0.41,4.48,,
159,7/13/2019 0:00,0,2.17,0.54,32.35,0.41,4.77,,
160,7/13/2019 0:15,0,2.2,1.51,32.23,0.41,5.06,,
161,7/13/2019 0:30,0,2.07,1.09,32.31,0.41,5,,
162,7/13/2019 0:45,0,2.09,1.3,32.12,0.41,4.89,,
163,7/13/2019 1:00,0,2.14,1.16,32.16,0.35,4.81,,
164,7/13/2019 1:15,0,2.05,1.29,32.12,0.41,4.69,,
165,7/13/2019 1:30,0,2.03,1.34,32.15,0.41,4.67,,
166,7/13/2019 1:45,0,1.99,1.51,32.06,0.41,4.75,,
167,7/13/2019 2:00,0,2.1,0.69,32.14,0.41,4.71,,
168,7/13/2019 2:15,0,2.05,1.14,32.11,0.41,4.59,,
169,7/13/2019 2:30,0,2.02,1.37,32.11,0.35,4.58,,
170,7/13/2019 2:45,0,1.99,1.33,32.02,0.35,4.4,,
171,7/13/2019 3:00,0,2.08,1.2,31.99,0.41,4.41,,
172,7/13/2019 3:15,0,2.09,1.18,31.82,0.35,3.82,,
173,7/13/2019 3:30,0,2.01,1.18,31.82,0.41,4,,
174,7/13/2019 3:45,0,2.04,0.39,31.71,0.35,4.02,,
175,7/13/2019 4:00,0,2.12,0.78,31.79,0.41,3.89,,
176,7/13/2019 4:15,0,2.02,1.16,31.75,0.41,3.93,,
177,7/13/2019 4:30,0,1.98,0.96,31.78,0.41,3.99,,
178,7/13/2019 4:45,0,2.28,1.14,31.74,0.41,3.95,,
179,7/13/2019 5:00,0,2.03,1.37,31.64,0.41,3.65,,
180,7/13/2019 5:15,0,2.02,1.11,31.65,0.41,3.4,,
181,7/13/2019 5:30,0,2.08,1.44,31.53,0.41,3.48,,
182,7/13/2019 5:45,0,2.31,1.83,31.46,0.41,3.17,,
183,7/13/2019 6:00,0,1.97,0.84,31.54,0.41,3.45,,
