DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   WS_WIND_LON               WS_WIND_LAT               WS_COS_HEADING            WS_SIN_HEADING            CAR_SPEED                 
2019-07-16                00:07:59.868              195.79722071              4699.133297               1563235679.869            0                         963                       1.4799628133E+02          4.4999966548E+01          4.4999822568E+01          4.4966523195E+01          4.1649496337E+01          0.0000000000E+00          0.0000000000E+00          1.6542723336E+04          1.0000000000E+00          1.0600000000E+02          2.8839434094E+00          2.9418795258E+00          3.1393835987E-02          3.0882136062E-02          -5.0354770916E+01         -5.0354770916E+01         -5.0451354596E+01         -4.9971663293E+01         -4.9886077468E+01         2.8142628624E+00          2.8894099762E+00          -4.8869620120E+01         -5.0407030293E+01         -5.0779460289E+01         -5.0631655457E+01         0.0000000000E+00          1.5825358110E+00          5.4224317059E+02          5.5791599489E+02          6.1724148557E+00          -1.5471743937E+01         -1.3695062864E+01         -1.3534187440E+01         -1.2888980333E+01         3.2999965583E+02          9.6745922679E+00          3.9592769138E+00          6.5535327548E+00          6.6193579135E+02          9.6534684469E+01          9.6603518555E+01          0.0000000000E+00          1.3466144980E-01          7.3967643129E+00          4.2669932555E-01          9.6225469830E-05          2.8272877673E+00          1.5826424935E+00          -6.3791306534E-01         4.9056140502E-03          3.7713161265E-02          -1.1616408539E+01         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:00.421              195.79722709              4699.133450               1563235680.421            0                         963                       1.4799250793E+02          4.5000083923E+01          4.4999900818E+01          4.4966484070E+01          4.1687500000E+01          0.0000000000E+00          0.0000000000E+00          1.6536945312E+04          1.0000000000E+00          1.0500000000E+02          2.8839434094E+00          2.9418795258E+00          3.1393835987E-02          3.0882136062E-02          -5.0354770916E+01         -5.0354770916E+01         -5.0451354596E+01         -4.9971663293E+01         -4.9886077468E+01         2.8142628624E+00          2.8894099762E+00          -4.8869620120E+01         -5.0407030293E+01         -5.0779460289E+01         -5.0631655457E+01         0.0000000000E+00          1.5825358110E+00          5.3970938253E+02          5.5531136130E+02          6.1435989062E+00          -1.5471743937E+01         -1.3695062864E+01         -1.3534187440E+01         -1.2888980333E+01         3.2845545571E+02          9.6745922679E+00          3.9592769138E+00          6.5535327548E+00          6.6193579135E+02          9.6534684469E+01          9.6603518555E+01          0.0000000000E+00          1.3466144980E-01          7.3967643129E+00          4.2669932555E-01          9.6225469830E-05          2.8272877673E+00          1.5826424935E+00          -6.3791306534E-01         4.9056140502E-03          3.7713161265E-02          -1.1616408539E+01         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:00.950              195.79723322              4699.133597               1563235680.950            0                         963                       1.4798050106E+02          4.5000083923E+01          4.4999900818E+01          4.4966484070E+01          4.1625915751E+01          0.0000000000E+00          0.0000000000E+00          1.6516553765E+04          1.0000000000E+00          1.0600000000E+02          2.8839434094E+00          2.9418795258E+00          3.1393835987E-02          3.0882136062E-02          -5.0354770916E+01         -5.0354770916E+01         -5.0451354596E+01         -4.9971663293E+01         -4.9886077468E+01         2.8142628624E+00          2.8894099762E+00          -4.8869620120E+01         -5.0407030293E+01         -5.0779460289E+01         -5.0631655457E+01         0.0000000000E+00          1.5825358110E+00          5.3970938253E+02          5.5531136130E+02          6.1563878507E+00          -1.3422281171E+01         -1.3609172655E+01         -1.3541713276E+01         -1.2912056863E+01         3.2845545571E+02          9.6677017450E+00          3.9592769138E+00          6.5535327548E+00          6.6193579135E+02          9.6534684469E+01          9.6603518555E+01          0.0000000000E+00          1.3466144980E-01          7.3967643129E+00          4.2669932555E-01          9.6225469830E-05          2.8272877673E+00          1.5826424935E+00          -6.3791306534E-01         4.9056140502E-03          3.7713161265E-02          -1.1616408539E+01         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:02.158              195.79724721              4699.133933               1563235682.159            0                         963                       1.4800426251E+02          4.5000083923E+01          4.4999900818E+01          4.4966484070E+01          4.1625000000E+01          0.0000000000E+00          0.0000000000E+00          1.6531592399E+04          1.0000000000E+00          1.5000000000E+02          2.8816027306E+00          2.9394692722E+00          3.1264068429E-02          3.0771393807E-02          -5.3504709353E+01         -5.3504709353E+01         -5.0934256308E+01         -5.0069708368E+01         -4.9913763674E+01         2.8245024670E+00          2.8999346770E+00          -5.5719888701E+01         -5.1377827520E+01         -5.0945700246E+01         -5.0699260303E+01         0.0000000000E+00          1.5819487172E+00          5.3970938253E+02          5.5531136130E+02          6.1563878507E+00          -1.3422281171E+01         -1.3609172655E+01         -1.3541713276E+01         -1.2912056863E+01         3.2845545571E+02          9.6677017450E+00          3.9436525257E+00          6.5773621527E+00          6.6142466612E+02          9.6498871748E+01          9.6567561223E+01          0.0000000000E+00          1.3518478024E-01          7.4449196721E+00          4.6460729571E-01          1.1917891626E-04          2.8154116182E+00          1.5824009458E+00          -6.8708986740E-01         2.5445035305E-03          3.8430391653E-02          -1.3078162961E+01         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:03.357              195.79726108              4699.134266               1563235683.357            0                         963                       1.4799616227E+02          4.5000083923E+01          4.4999900818E+01          4.4966484070E+01          4.1663690476E+01          0.0000000000E+00          0.0000000000E+00          1.6531131954E+04          1.0000000000E+00          1.0600000000E+02          2.8816027306E+00          2.9394692722E+00          3.1264068429E-02          3.0771393807E-02          -5.3504709353E+01         -5.3504709353E+01         -5.0934256308E+01         -5.0069708368E+01         -4.9913763674E+01         2.8245024670E+00          2.8999346770E+00          -5.5719888701E+01         -5.1377827520E+01         -5.0945700246E+01         -5.0699260303E+01         0.0000000000E+00          1.5819487172E+00          5.3970938253E+02          5.5531136130E+02          6.1563878507E+00          -1.3422281171E+01         -1.3609172655E+01         -1.3541713276E+01         -1.2912056863E+01         3.2845545571E+02          9.6559468638E+00          3.9436525257E+00          6.5773621527E+00          6.6142466612E+02          9.6498871748E+01          9.6567561223E+01          0.0000000000E+00          1.3518478024E-01          7.4449196721E+00          4.6460729571E-01          1.1917891626E-04          2.8154116182E+00          1.5824009458E+00          -6.8708986740E-01         2.5445035305E-03          3.8430391653E-02          -1.3078162961E+01         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:03.901              195.79726738              4699.134417               1563235683.902            0                         963                       1.4801809692E+02          4.5000083923E+01          4.4999900818E+01          4.4966484070E+01          4.1687500000E+01          0.0000000000E+00          0.0000000000E+00          1.6549664062E+04          1.0000000000E+00          1.0500000000E+02          2.8816027306E+00          2.9394692722E+00          3.1264068429E-02          3.0771393807E-02          -5.3504709353E+01         -5.3504709353E+01         -5.0934256308E+01         -5.0069708368E+01         -4.9913763674E+01         2.8245024670E+00          2.8999346770E+00          -5.5719888701E+01         -5.1377827520E+01         -5.0945700246E+01         -5.0699260303E+01         0.0000000000E+00          1.5819487172E+00          5.3772086861E+02          5.5325917167E+02          6.1336365149E+00          -1.3422281171E+01         -1.3609172655E+01         -1.3541713276E+01         -1.2912056863E+01         3.2724356926E+02          9.6559468638E+00          3.9436525257E+00          6.5773621527E+00          6.6142466612E+02          9.6498871748E+01          9.6567561223E+01          0.0000000000E+00          1.3518478024E-01          7.4449196721E+00          4.6460729571E-01          1.1917891626E-04          2.8154116182E+00          1.5824009458E+00          -6.8708986740E-01         2.5445035305E-03          3.8430391653E-02          -1.3078162961E+01         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:04.427              195.79727347              4699.134563               1563235684.428            0                         963                       1.4799533936E+02          4.5000083588E+01          4.4999900147E+01          4.4966484741E+01          4.1649038462E+01          0.0000000000E+00          0.0000000000E+00          1.6530262856E+04          1.0000000000E+00          1.0600000000E+02          2.8816027306E+00          2.9394692722E+00          3.1264068429E-02          3.0771393807E-02          -5.3504709353E+01         -5.3504709353E+01         -5.0934256308E+01         -5.0069708368E+01         -4.9913763674E+01         2.8245024670E+00          2.8999346770E+00          -5.5719888701E+01         -5.1377827520E+01         -5.0945700246E+01         -5.0699260303E+01         0.0000000000E+00          1.5819487172E+00          5.3772086861E+02          5.5325917167E+02          6.1380874896E+00          -1.2706354751E+01         -1.3613432366E+01         -1.3467139079E+01         -1.2933641806E+01         3.2724356926E+02          9.6292235879E+00          3.9436525257E+00          6.5773621527E+00          6.6142466612E+02          9.6498871748E+01          9.6567561223E+01          0.0000000000E+00          1.3518478024E-01          7.4449196721E+00          4.6460729571E-01          1.1917891626E-04          2.8154116182E+00          1.5824009458E+00          -6.8708986740E-01         2.5445035305E-03          3.8430391653E-02          -1.3078162961E+01         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:05.650              195.79728762              4699.134903               1563235685.650            0                         963                       1.4799243202E+02          4.5000053406E+01          4.4999839783E+01          4.4966545105E+01          4.1647265625E+01          0.0000000000E+00          0.0000000000E+00          1.6521923710E+04          1.0000000000E+00          1.5000000000E+02          2.8796254372E+00          2.9374429478E+00          3.1315867561E-02          3.0796208216E-02          -5.1282532267E+01         -5.1282532267E+01         -5.0982650590E+01         -5.0009092751E+01         -4.9947231064E+01         2.8161992548E+00          2.8913800472E+00          -5.2162347205E+01         -5.1290338307E+01         -5.0851852878E+01         -5.0772149128E+01         0.0000000000E+00          1.5817031413E+00          5.3772086861E+02          5.5325917167E+02          6.1380874896E+00          -1.2706354751E+01         -1.3613432366E+01         -1.3467139079E+01         -1.2933641806E+01         3.2724356926E+02          9.6292235879E+00          3.9480701212E+00          6.5586961319E+00          6.6068710059E+02          9.6483891620E+01          9.6552694372E+01          0.0000000000E+00          1.4474565741E-01          7.3316830364E+00          3.6726993802E-01          1.2224453378E-04          2.8166906565E+00          1.5814463599E+00          -5.0275924140E-01         6.5230951502E-03          3.7551851438E-02          -6.3612252870E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:06.849              195.79730150              4699.135236               1563235686.850            0                         963                       1.4800011497E+02          4.5000053406E+01          4.4999839783E+01          4.4966545105E+01          4.1625000000E+01          0.0000000000E+00          0.0000000000E+00          1.6520795852E+04          1.0000000000E+00          1.0600000000E+02          2.8796254372E+00          2.9374429478E+00          3.1315867561E-02          3.0796208216E-02          -5.1282532267E+01         -5.1282532267E+01         -5.0982650590E+01         -5.0009092751E+01         -4.9947231064E+01         2.8161992548E+00          2.8913800472E+00          -5.2162347205E+01         -5.1290338307E+01         -5.0851852878E+01         -5.0772149128E+01         0.0000000000E+00          1.5817031413E+00          5.3772086861E+02          5.5325917167E+02          6.1380874896E+00          -1.2706354751E+01         -1.3613432366E+01         -1.3467139079E+01         -1.2933641806E+01         3.2724356926E+02          9.5892863813E+00          3.9480701212E+00          6.5586961319E+00          6.6068710059E+02          9.6483891620E+01          9.6552694372E+01          0.0000000000E+00          1.4474565741E-01          7.3316830364E+00          3.6726993802E-01          1.2224453378E-04          2.8166906565E+00          1.5814463599E+00          -5.0275924140E-01         6.5230951502E-03          3.7551851438E-02          -6.3612252870E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2019-07-16                00:08:07.400              195.79730787              4699.135389               1563235687.400            0                         963                       1.4799153137E+02          4.5000053406E+01          4.4999839783E+01          4.4966545105E+01          4.1625000000E+01          0.0000000000E+00          0.0000000000E+00          1.6514255859E+04          1.0000000000E+00          1.0500000000E+02          2.8796254372E+00          2.9374429478E+00          3.1315867561E-02          3.0796208216E-02          -5.1282532267E+01         -5.1282532267E+01         -5.0982650590E+01         -5.0009092751E+01         -4.9947231064E+01         2.8161992548E+00          2.8913800472E+00          -5.2162347205E+01         -5.1290338307E+01         -5.0851852878E+01         -5.0772149128E+01         0.0000000000E+00          1.5817031413E+00          5.3465748880E+02          5.5010460330E+02          6.1030893953E+00          -1.2706354751E+01         -1.3613432366E+01         -1.3467139079E+01         -1.2933641806E+01         3.2537661300E+02          9.5892863813E+00          3.9480701212E+00          6.5586961319E+00          6.6068710059E+02          9.6483891620E+01          9.6552694372E+01          0.0000000000E+00          1.4474565741E-01          7.3316830364E+00          3.6726993802E-01          1.2224453378E-04          2.8166906565E+00          1.5814463599E+00          -5.0275924140E-01         6.5230951502E-03          3.7551851438E-02          -6.3612252870E+00         0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
