DateTime,Distance,Distance for Eos,Elevation,,,,
7/18/19 18:09,0,,4103.744629,,,,
7/18/19 18:08,4.002,4.002,4104.335449,,,,
7/18/19 18:05,12.337,,4104.427246,,,,
7/18/19 18:03,16.957,,4105.126465,,,,
7/18/19 18:01,25.495,,4105.930176,,,,
7/18/19 17:58,34.256,,4106.164551,,,,
7/18/19 17:56,37.442,37.442,4105.832031,,,,
7/18/19 17:54,47.593,,4103.774414,,,,
7/18/19 17:52,51.477,,4104.718262,,,,
7/18/19 17:49,56.243,,4104.314941,,,,
7/18/19 17:44,63.659,,4102.260742,,,,
7/18/19 17:38,67.023,,4101.803711,,,,
7/18/19 17:32,75.925,75.925,4102.454102,,,,
7/18/19 17:28,81.871,,4101.035645,,,,
7/18/19 17:24,87.664,,4099.228516,,,,
7/18/19 17:21,94.14,94.14,4097.708496,,,,
7/18/19 17:11,102.753,,4097.244629,,,,
,107.753,107.753,4094,,,,
7/18/19 17:02,124.229,,4092.185547,,,,
7/18/19 16:58,128.96,,4090.145508,,,,
7/18/19 16:56,131.849,,4088.274414,,,,
7/18/19 16:52,140.638,,4084.588867,,,,
7/18/19 16:49,143.68,143.68,4088.300781,,,,
7/18/19 16:47,154.82,,4089.354004,,,,
7/18/19 16:44,161.976,,4086.871338,,,,
7/18/19 16:35,169.972,169.972,4085.638916,,,,
7/18/19 16:30,178.759,,4083.818115,,,,
7/18/19 16:24,184.107,,4084.614014,,,,
7/18/19 16:18,194.937,194.937,4084.42749,,,,
7/18/19 16:15,204.122,,4081.877686,,,,
7/18/19 16:10,208.216,,4081.722168,,,,
7/18/19 16:05,217.636,217.636,4081.233154,,,,
7/18/19 16:01,225.566,,4079.155273,,,,
7/18/19 15:57,228.22,,4082.283691,,,,
7/18/19 15:51,240.131,,4079.31958,,,,
7/18/19 15:49,245.23145,245.23145,4079.833008,,,,
