FID,Shape,DateTime,name,ele,Category
146,Point,7/18/19 15:49,SYN 1,4079.833008,Synoptics
147,Point,7/18/19 15:51,SYN 2,4079.31958,Synoptics
148,Point,7/18/19 15:57,SYN 4,4082.283691,Synoptics
149,Point,7/18/19 16:01,SYN 4,4079.155273,Synoptics
150,Point,7/18/19 16:05,SYN 5,4081.233154,Synoptics
151,Point,7/18/19 16:10,SYN 6,4081.722168,Synoptics
152,Point,7/18/19 16:15,SYN 7,4081.877686,Synoptics
153,Point,7/18/19 16:18,SYN 8,4084.42749,Synoptics
154,Point,7/18/19 16:24,SYN 9,4084.614014,Synoptics
155,Point,7/18/19 16:30,SYN 10,4083.818115,Synoptics
156,Point,7/18/19 16:35,SYN 11,4085.638916,Synoptics
157,Point,7/18/19 16:44,SYN 12,4086.871338,Synoptics
158,Point,7/18/19 16:47,SYN 13,4089.354004,Synoptics
159,Point,7/18/19 16:49,SYN 14,4088.300781,Synoptics
160,Point,7/18/19 16:52,SYN 15,4084.588867,Synoptics
161,Point,7/18/19 16:56,SYN 16,4088.274414,Synoptics
162,Point,7/18/19 16:58,SYN 17,4090.145508,Synoptics
163,Point,7/18/19 17:02,SYN 18,4092.185547,Synoptics
164,Point,7/18/19 17:11,SYN 19,4097.244629,Synoptics
165,Point,7/18/19 17:21,SYN 20,4097.708496,Synoptics
166,Point,7/18/19 17:24,SYN 21,4099.228516,Synoptics
167,Point,7/18/19 17:28,SYN 22,4101.035645,Synoptics
168,Point,7/18/19 17:32,SYN 23,4102.454102,Synoptics
169,Point,7/18/19 17:38,SYN 24,4101.803711,Synoptics
170,Point,7/18/19 17:44,SYN 25,4102.260742,Synoptics
171,Point,7/18/19 17:49,SYN 26,4104.314941,Synoptics
172,Point,7/18/19 17:52,SYN 27,4104.718262,Synoptics
173,Point,7/18/19 17:54,SYN 28,4103.774414,Synoptics
174,Point,7/18/19 17:56,SYN 29,4105.832031,Synoptics
175,Point,7/18/19 17:58,SYN 30,4106.164551,Synoptics
176,Point,7/18/19 18:01,SYN 31,4105.930176,Synoptics
177,Point,7/18/19 18:03,SYN 32,4105.126465,Synoptics
178,Point,7/18/19 18:05,SYN 33,4104.427246,Synoptics
179,Point,7/18/19 18:08,SYN 34,4104.335449,Synoptics
180,Point,7/18/19 18:09,SYN 35,4103.744629,Synoptics
